x;f(x);cos(x);sin(x);tan(x);cot(x);sec(x);log_2(x);log_5(x);log_10(x);ln(x)
-6.283185307179586;NaN;0.9999999999999982;-5.9604644775390625E-8;-5.960464477539073E-8;-1.677721599999997E7;1.0000000000000018;NaN;NaN;NaN;NaN;
-6.282185307179586;NaN;0.9999995000000371;9.999998378662919E-4;0.0010000003378664237;999.9996621336904;1.0000005000002128;NaN;NaN;NaN;NaN;
-6.281185307179586;NaN;0.9999980000006645;0.001999998667732927;0.0020000026677369333;499.9993330666563;1.0000020000033354;NaN;NaN;NaN;NaN;
-6.280185307179585;NaN;0.9999955000033729;0.0029999955006944187;0.003000009000724803;333.3323332558001;1.0000045000168771;NaN;NaN;NaN;NaN;
-6.279185307179585;;0.9999920000106721;0.003999989331979631;0.0040000213321075995;249.9986667503853;1.0000080000533282;NaN;NaN;NaN;NaN;
-6.278185307179585;;0.9999875000260494;0.004999979165139111;0.005000041665529682;199.99833339270074;1.0000125001302018;NaN;NaN;NaN;NaN;
-6.277185307179584;7.901972015491664E8;0.9999820000540012;0.005999963999858714;0.006000072000830718;166.66466666759143;1.0000180002700028;NaN;NaN;NaN;NaN;
-6.276185307179584;4.282090754286466E8;0.9999755001000421;0.0069999428333893145;0.007000114335490228;142.8548095179032;1.0000245005002177;NaN;NaN;NaN;NaN;
-6.275185307179584;2.5199454544400018E8;0.9999680001706578;0.007999914668001519;0.008000170672097734;124.9973333053642;1.000032000853364;NaN;NaN;NaN;NaN;
-6.274185307179583;1.5793546227268407E8;0.9999595002733805;0.00899987849979512;0.009000243007176419;111.10811110351594;1.0000405013669138;NaN;NaN;NaN;NaN;
-6.273185307179583;1.0402647058233033E8;0.9999500004166667;0.009999833334022885;0.010000333346523406;99.99666664588214;1.0000500020834167;NaN;NaN;NaN;NaN;
-6.272185307179583;7.132846539899707E7;0.9999395006100392;0.01099977816800834;0.01100044368814077;90.90542421284955;1.0000605030503584;NaN;NaN;NaN;NaN;
-6.271185307179582;5.055847922578647E7;0.9999280008640015;0.01199971200160733;0.01200057603271317;83.32933329817114;1.0000720043202473;NaN;NaN;NaN;NaN;
-6.270185307179582;3.6849073366464E7;0.9999155011900391;0.012999633836106448;0.01300073238252139;76.91874354282015;1.0000845059506132;NaN;NaN;NaN;NaN;
-6.269185307179582;2.7502012933084253E7;0.9999020016006563;0.013999542671138366;0.014000914738372073;71.42390470097763;1.0000980080039712;NaN;NaN;NaN;NaN;
-6.268185307179581;2.094999403468735E7;0.9998875021093658;0.014999437505883539;0.01500112510081452;66.66166659364121;1.0001125105478335;NaN;NaN;NaN;NaN;
-6.267185307179581;1.6245647137066858E7;0.9998720027306407;0.015999317342238972;0.016001365473325577;62.49466657498756;1.0001280136547575;NaN;NaN;NaN;NaN;
-6.2661853071795806;1.2796316699006757E7;0.9998555034800027;0.016999181178815333;0.017001637856319824;58.817862634821466;1.000144517402259;NaN;NaN;NaN;NaN;
-6.26518530717958;1.0219981196948653E7;0.9998380043739429;0.017999028016294584;0.018001944252524018;55.5495554242588;1.000162021872892;NaN;NaN;NaN;NaN;
-6.26418530717958;8263821.31806591;0.9998195054299801;0.018998856853767485;0.019002286663328177;52.62524546216133;1.000180527154191;NaN;NaN;NaN;NaN;
-6.2631853071795796;6756570.574349225;0.9998000066665782;0.019998666693311178;0.02000266709338051;49.99333315560355;1.000200033338756;NaN;NaN;NaN;NaN;
-6.262185307179579;5579764.799025545;0.999779508103252;0.020998456534217547;0.02100308754482787;47.6120474128222;1.0002205405241464;NaN;NaN;NaN;NaN;
-6.261185307179579;4649914.136390639;0.9997580097605084;0.021998225376314837;0.022003550020654;45.447211884506515;1.0002420488129418;NaN;NaN;NaN;NaN;
-6.2601853071795786;3907173.809178327;0.9997355116598309;0.02299797222052766;0.02300405652525518;43.47059393208073;1.000264558312758;NaN;NaN;NaN;NaN;
-6.259185307179578;3307983.844920092;0.9997120138237354;0.023997696066319546;0.02400460906189601;41.658666359510164;1.0002880691361935;NaN;NaN;NaN;NaN;
-6.258185307179578;2820190.57309768;0.9996875162757067;0.024997395914545417;0.025005209635579076;39.99166631969098;1.0003125814008935;NaN;NaN;NaN;NaN;
-6.2571853071795775;2419753.5529836374;0.9996620190402341;0.02599707076581274;0.026005860251420054;38.452871404067274;1.000338095229516;NaN;NaN;NaN;NaN;
-6.256185307179577;2088485.2875633796;0.9996355221428385;0.02699671961951481;0.027006562913694892;37.02803659968537;1.0003646107497064;NaN;NaN;NaN;NaN;
-6.255185307179577;1812475.8616671376;0.9996080256100014;0.027996341476608146;0.028007319628635077;35.704951893275286;1.0003921280941692;NaN;NaN;NaN;NaN;
-6.2541853071795765;1580979.3430754857;0.9995795294692168;0.028995935337545787;0.029008132402374043;34.4730914120538;1.000420647400619;NaN;NaN;NaN;NaN;
-6.253185307179576;1385616.250548333;0.9995500337489824;0.029995500202664793;0.030009003241350078;33.323332733093835;1.0004501688117902;NaN;NaN;NaN;NaN;
-6.252185307179576;1219795.4249568158;0.9995195384788123;0.03099503507179995;0.03100993415193452;32.24773052082138;1.0004806924754257;NaN;NaN;NaN;NaN;
-6.2511853071795755;1078290.1998865048;0.9994880436891854;0.03199453894596657;0.03201092714213201;31.23933260539099;1.000512218544331;NaN;NaN;NaN;NaN;
-6.250185307179575;956924.4121152045;0.9994555494115724;0.03299401082638843;0.03301198422062251;30.292029504100586;1.0005447471763482;NaN;NaN;NaN;NaN;
